FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-12-14 16586 121563 3972 1940 0.00113836650652025 0.00834337680164722 0.000272614962251201 0.000133150308853809 0.124543989622137 2020-12-14 0.129264239062478 0.120142719541653 0.4
2020-12-15 17031 123373 3992 2275 0.00116890871654084 0.00846760466712423 0.000273987645847632 0.000156142759094029 0.143567469600731 2020-12-15 0.131802581368209 0.124852360056657 -4.3
2020-12-16 17084 125416 4035 2139 0.00117254632807138 0.00860782429649966 0.000276938915579959 0.000146808510638298 0.133935097032002 2020-12-16 0.134085664512463 0.126073662244918 -5.9
2020-12-17 17484 127425 4058 2432 0.0012 0.00874571036376115 0.000278517501715855 0.000166918325326012 0.149971214145413 2020-12-17 0.137519404116687 0.128611066680212 -5
2020-12-18 17742 129417 4098 2290 0.00121770761839396 0.00888242964996568 0.000281262868908717 0.000157172271791352 0.138378640400814 2020-12-18 0.136659891815268 0.13116100904342 -3.3
2020-12-19 18207 131282 4125 2357 0.00124962251201098 0.00901043239533288 0.000283115991763898 0.000161770761839396 0.138824460066034 2020-12-19 0.133481125700473 0.133472793651709 1.7
2020-12-20 18567 133213 4150 2316 0.00127433081674674 0.00914296499656829 0.000284831846259437 0.000158956760466712 0.133414957949675 2020-12-20 0.13328270390417 0.137314766527866 3.4
2020-12-21 19019 134867 4167 2123 0.00130535346602608 0.00925648592999314 0.000285998627316404 0.000145710363761153 0.118527403512209 2020-12-21 0.130722002375466 0.136346891893622 2.4
2020-12-22 19300 136767 4188 2202 0.00132463967055594 0.00938689087165408 0.000287439945092656 0.000151132463967056 0.121316106797166 2020-12-22 0.127570916631508 0.133105811193051 2.3
2020-12-23 19424 139010 4229 2408 0.00133315030885381 0.00954083733699382 0.00029025394646534 0.000165271105010295 0.132546144457877 2020-12-23 0.12404996029739 0.132907735884658 5
2020-12-24 19809 141023 4278 2447 0.00135957446808511 0.00967899794097461 0.000293617021276596 0.000167947838023336 0.13204630344449 2020-12-24 0.120215440788365 0.130512731712284 3.7
2020-12-25 19688 143260 4321 2159 0.0013512697323267 0.00983253260123542 0.000296568291008922 0.000148181194234729 0.116321040193107 2020-12-25 0.11817624669137 0.12731509866677 -2.2
2020-12-26 19879 145173 4359 2142 0.00136437886067262 0.00996382978723404 0.000299176389842141 0.000147014413177763 0.114177765727207 2020-12-26 0.120498266508963 0.123809383356905 -3
2020-12-27 19861 147178 4377 2005 0.00136314344543583 0.0101014413177763 0.000300411805078929 0.00013761153054221 0.106573321386499 2020-12-27 0.123506160184924 0.119899393393613 1.1
2020-12-28 19612 149329 4414 1939 0.00134605353466026 0.0102490734385724 0.000302951269732327 0.000133081674673988 0.104253044833243 2020-12-28 0.128564358258434 0.117721436796182 1.7
